t;x1;x2;M1;M2
0.000;0.250;0.000;0;4
0.033;0.233;0.000;0;0
0.067;0.215;0.002;0;0
0.100;0.200;0.000;0;0
0.133;0.182;0.000;0;0
0.167;0.167;0.000;0;0
0.200;0.151;0.000;0;0
0.233;0.134;0.000;0;0
0.267;0.117;0.000;0;0
0.300;0.099;0.000;0;0
0.333;0.084;0.000;0;0
0.367;0.070;0.000;0;0
0.400;0.061;-0.003;0;0
0.433;0.061;-0.012;0;0
0.467;0.066;-0.023;0;0
0.500;0.071;-0.033;0;0
0.533;0.074;-0.045;0;0
0.567;0.081;-0.055;0;0
0.600;0.088;-0.066;0;0
0.633;0.093;-0.076;0;0
0.667;0.098;-0.088;0;0
0.700;0.103;-0.098;0;0
0.733;0.109;-0.108;0;0
0.767;0.114;-0.117;0;0
0.800;0.119;-0.127;0;0
0.833;0.124;-0.137;0;0
0.867;0.129;-0.147;0;0
0.900;0.134;-0.157;0;0
0.933;0.139;-0.169;0;0
0.967;0.144;-0.177;0;0
1.000;0.149;-0.189;0;0
1.030;0.154;-0.195;0;0
1.070;0.159;-0.205;0;0
