Pression (hPa);Incertitude pression (Pa);Température (°C);Température (K)
1006;1;22.9;296.05
1014;1;25.4;298.55
1016;1;26.2;299.35
1019;1;27;300.15
1022;1;28;301.15
1023;1;28.4;301.55
1026;1;29.2;302.35
1028;1;30;303.15
1033;1;31.6;304.75
1036;1;32.5;305.65
1038;1;33.1;306.25
1041;1;34;307.15
1045;1;35;308.15
1048;1;36;309.15
1052;1;37.5;310.65
1054;1;38;311.15
1056;1;39;312.15
1060;1;40;313.15
1063;1;41;314.15
1067;1;42;315.15
1071;1;43.4;316.55
1073;1;44;317.15
1077;1;45;318.15
1080;1;46;319.15
1082;1;47;320.15
1086;1;48;321.15
1089;1;49.1;322.25
1092;1;50;323.15
1096;1;51;324.15
1099;1;52;325.15
1102;1;53;326.15
1105;1;54;327.15
1109;1;55;328.15
1111;1;56;329.15
1115;1;57;330.15
1118;1;58;331.15
1120;1;59;332.15
1125;1;60;333.15
1128;1;61;334.15
1131;1;62;335.15
1135;1;63;336.15
