Intensite (mT);Distance (cm)
0.45;0
0.44;2
0.47;4
0.5;6
0.54;8
0.6;10
0.65;12
0.72;14
0.8;16
0.87;18
0.91;20
0.96;22
0.96;24
0.95;26
0.88;28
0.82;30
0.74;32
0.65;34
0.57;36
0.49;38
0.43;40
0.37;42
0.30;44
0.26;46
0.23;48
0.43;-2
0.45;-4
0.47;-6
0.5;-8
0.56;-10
0.61;-12
0.67;-14
0.73;-16
0.81;-18
0.88;-20
0.93;-22
0.95;-24
0.95;-26
0.93;-28
0.86;-30
0.80;-32
0.72;-34
0.63;-36
0.56;-38
0.48;-40
0.42;-42
0.35;-44
0.30;-46
0.27;-48
0.24;-50
0.19;-52
0.17;-54
0.13;-56
0.12;-58
0.11;-60
0.10;-62
0.10;-64
0.07;-66
0.06;-68
0.05;-70
0.05;-72
